Дата,CO2,Влажность,Температура,Давление,Освещённость,Уровень шума
2025-01-01 00:00:00,552,57,13.6,1010,0,41
2025-01-01 01:00:00,582,56,15.2,1009,0,48
2025-01-01 02:00:00,622,50,21.9,1007,0,42
2025-01-01 03:00:00,633,47,22.2,1008,44,55
2025-01-01 04:00:00,681,42,25.5,1010,0,54
2025-01-01 05:00:00,704,48,27.8,1008,0,56
2025-01-01 06:00:00,696,42,24.9,1010,53,55
2025-01-01 07:00:00,715,49,28.0,1008,10,50
2025-01-01 08:00:00,667,,27.5,1008,129,55
2025-01-01 09:00:00,642,51,24.4,1009,374,52
2025-01-01 10:00:00,647,51,21.5,1013,525,45
2025-01-01 11:00:00,595,54,21.6,1012,577,42
2025-01-01 12:00:00,563,66,16.9,1011,592,39
2025-01-01 13:00:00,490,64,15.9,1008,720,33
2025-01-01 14:00:00,511,74,13.9,1009,688,38
2025-01-01 15:00:00,472,75,9.2,1008,670,41
2025-01-01 16:00:00,468,73,8.8,1013,531,34
2025-01-01 17:00:00,474,76,7.2,1013,414,36
2025-01-01 18:00:00,428,75,9.3,1013,303,41
2025-01-01 19:00:00,417,82,8.1,1008,151,32
2025-01-01 20:00:00,435,74,8.6,1015,58,39
2025-01-01 21:00:00,510,70,9.3,1013,64,43
2025-01-01 22:00:00,548,71,14.0,1016,59,43
2025-01-01 23:00:00,539,67,15.4,1015,0,37
2025-01-02 00:00:00,617,60,19.6,1014,0,38
2025-01-02 01:00:00,624,58,24.3,1012,0,38
2025-01-02 02:00:00,686,60,26.1,1013,0,52
2025-01-02 03:00:00,698,50,26.9,1011,65,45
2025-01-02 04:00:00,735,56,28.0,1016,55,56
2025-01-02 05:00:00,711,52,32.5,1010,0,59
2025-01-02 06:00:00,705,47,30.3,1015,53,55
2025-01-02 07:00:00,720,53,30.7,1013,0,60
2025-01-02 08:00:00,721,54,28.9,1015,114,58
2025-01-02 09:00:00,738,54,28.5,1012,335,46
2025-01-02 10:00:00,646,63,26.1,1011,426,51
2025-01-02 11:00:00,615,63,21.8,1017,613,39
2025-01-02 12:00:00,641,64,19.6,1015,639,34
2025-01-02 13:00:00,602,65,17.0,1014,703,34
2025-01-02 14:00:00,513,78,14.9,1011,639,35
2025-01-02 15:00:00,521,77,11.5,1015,712,43
2025-01-02 16:00:00,498,77,13.4,1014,635,34
2025-01-02 17:00:00,515,84,9.8,1011,507,34
2025-01-02 18:00:00,458,85,9.7,1013,358,37
2025-01-02 19:00:00,452,77,9.1,1017,190,39
2025-01-02 20:00:00,460,75,12.1,1013,47,41
2025-01-02 21:00:00,512,73,12.9,1015,0,40
2025-01-02 22:00:00,515,73,15.3,1017,0,43
2025-01-02 23:00:00,595,66,16.1,1016,0,42
2025-01-03 00:00:00,597,70,21.2,1016,0,40
2025-01-03 01:00:00,646,63,22.2,1014,0,48
2025-01-03 02:00:00,696,55,25.7,1013,0,41
2025-01-03 03:00:00,742,59,28.7,1016,68,55
2025-01-03 04:00:00,748,54,31.9,1012,30,59
2025-01-03 05:00:00,711,54,29.8,1012,3,60
2025-01-03 06:00:00,736,46,32.3,1015,0,51
2025-01-03 07:00:00,725,55,30.3,1010,24,58
2025-01-03 08:00:00,755,54,29.8,1013,135,59
2025-01-03 09:00:00,720,57,26.1,,,47
2025-01-03 10:00:00,694,58,23.9,1014,516,47
2025-01-03 11:00:00,648,56,20.8,1016,507,46
2025-01-03 12:00:00,566,69,19.9,,625,40
2025-01-03 13:00:00,523,68,18.3,1014,723,33
2025-01-03 14:00:00,524,71,12.8,1012,740,41
2025-01-03 15:00:00,450,73,,1013,699,33
2025-01-03 16:00:00,493,75,10.0,1013,515,35
2025-01-03 17:00:00,429,83,6.7,1013,400,36
2025-01-03 18:00:00,468,78,5.9,1013,314,
2025-01-03 19:00:00,462,79,6.2,1012,123,33
2025-01-03 20:00:00,486,76,7.3,1011,31,37
2025-01-03 21:00:00,455,,9.1,1009,62,42
2025-01-03 22:00:00,489,66,10.5,1009,31,42
2025-01-03 23:00:00,503,64,13.4,1013,0,43
2025-01-04 00:00:00,529,60,17.6,1014,0,39
2025-01-04 01:00:00,560,60,20.1,1007,0,44
2025-01-04 02:00:00,605,50,23.4,1007,0,49
2025-01-04 03:00:00,688,51,24.2,1012,20,56
2025-01-04 04:00:00,650,50,25.3,1012,0,51
2025-01-04 05:00:00,711,42,26.9,1010,13,58
2025-01-04 06:00:00,650,49,25.1,1012,7,54
2025-01-04 07:00:00,658,48,24.1,1008,9,56
2025-01-04 08:00:00,627,46,26.3,1007,203,59
2025-01-04 09:00:00,640,47,21.2,1011,369,50
2025-01-04 10:00:00,561,55,18.9,1005,425,44
2025-01-04 11:00:00,521,57,17.1,1009,,43
2025-01-04 12:00:00,527,57,15.6,1006,614,38
2025-01-04 13:00:00,457,63,10.2,1007,661,33
2025-01-04 14:00:00,418,60,9.2,1009,747,34
2025-01-04 15:00:00,400,63,5.9,1008,708,35
2025-01-04 16:00:00,403,72,3.3,1006,612,43
2025-01-04 17:00:00,,66,0.2,1004,396,35
2025-01-04 18:00:00,380,76,2.4,1006,295,40
2025-01-04 19:00:00,400,75,0.0,1007,231,42
2025-01-04 20:00:00,403,71,1.5,1003,9,33
2025-01-04 21:00:00,389,63,2.0,1009,22,44
2025-01-04 22:00:00,454,59,6.7,1008,69,33
2025-01-04 23:00:00,467,57,6.7,1005,45,39
2025-01-05 00:00:00,474,55,10.5,1009,37,34
2025-01-05 01:00:00,494,47,15.3,1006,0,43
2025-01-05 02:00:00,532,48,17.0,1007,10,53
2025-01-05 03:00:00,575,43,18.4,1003,7,56
2025-01-05 04:00:00,580,45,19.7,1007,0,52
2025-01-05 05:00:00,633,36,18.5,1006,1,51
2025-01-05 06:00:00,607,34,21.9,1001,0,51
2025-01-05 07:00:00,585,37,20.9,1003,0,52
2025-01-05 08:00:00,543,38,16.9,1005,218,52
2025-01-05 09:00:00,555,37,15.0,1004,382,50
2025-01-05 10:00:00,544,42,16.3,,438,50
2025-01-05 11:00:00,510,52,11.3,1003,571,45
2025-01-05 12:00:00,449,56,7.7,1001,625,
2025-01-05 13:00:00,433,59,7.1,1005,631,34
